SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
005034.69-003608.7 0.4573 20.475 0.069 20.125 0.030 20.010 0.027 19.630 0.027 19.358 0.061  0.000 -9.000 -22.285
005034.85-104551.9 1.6106 20.127 0.072 19.696 0.038 19.460 0.020 19.155 0.019 19.214 0.083  0.000 -9.000 -25.774
005035.32-084743.9 1.5557 19.416 0.042 19.292 0.045 19.134 0.024 18.883 0.021 18.996 0.064  0.000 -9.000 -25.964
005038.22+145022.3 1.2737 19.675 0.033 19.600 0.038 19.315 0.025 19.243 0.022 19.182 0.075 -1.000 -9.000 -25.198
005038.61-002414.8 0.7955 20.794 0.092 20.199 0.023 19.731 0.025 19.632 0.032 19.448 0.081  0.000 -9.000 -23.619
005040.71+135001.8 1.1442 18.986 0.033 18.545 0.016 18.199 0.016 18.065 0.015 17.953 0.033 -1.000 -9.000 -26.130
005041.29+141002.1 1.2834 19.523 0.036 19.269 0.018 18.738 0.022 18.526 0.017 18.493 0.030 -1.000 -9.000 -25.926
005041.59+143755.8 3.5300 23.416 0.525 23.379 0.239 20.794 0.044 20.077 0.030 19.444 0.061 -1.000 -9.000 -26.671
005041.61+152520.9 1.2013 19.754 0.033 19.714 0.023 19.099 0.019 19.091 0.021 18.959 0.038 -1.000 -9.000 -25.231
005043.09-094314.7 2.8992 21.545 0.159 19.875 0.021 19.731 0.024 19.653 0.027 19.602 0.121  0.000 -9.000 -26.608
005044.42-090230.4 1.2813 19.428 0.036 19.556 0.029 19.231 0.019 19.258 0.028 19.405 0.093  0.000 -9.000 -25.130
005048.60+134351.6 0.5233 20.166 0.039 19.707 0.023 19.771 0.026 19.421 0.026 19.295 0.055 -1.000 -9.000 -22.882
005051.54+160522.6 1.8361 19.461 0.033 19.233 0.020 19.109 0.032 18.807 0.028 18.831 0.053 -1.000 -9.000 -26.479
005052.36-101356.1 1.6501 19.703 0.038 19.531 0.070 19.444 0.024 19.257 0.026 19.204 0.075  0.000 -9.000 -25.727
005056.01+150046.7 1.3714 20.689 0.059 20.467 0.024 20.023 0.028 19.869 0.027 19.818 0.096 -1.000 -9.000 -24.742
005058.00+005209.4 0.7770 20.853 0.109 20.117 0.075 19.965 0.029 19.887 0.040 19.612 0.090  0.000 -9.000 -23.275
005102.42-010244.3 1.8772 17.810 0.014 17.812 0.024 17.701 0.010 17.452 0.014 17.375 0.019  0.000 -9.000 -27.847
005103.47-090035.8 2.2800 18.542 0.039 18.008 0.021 17.973 0.022 17.944 0.017 17.780 0.036  0.000 -9.000 -27.785
005104.04-000454.8 1.2380 19.421 0.035 19.473 0.022 19.197 0.020 19.176 0.020 19.119 0.054  0.000 -9.000 -25.117
005104.89-092236.8 1.4652 19.102 0.024 18.791 0.029 18.703 0.021 18.554 0.024 18.588 0.051  0.000 -9.000 -26.152
005107.52+144006.5 1.2587 20.378 0.054 20.409 0.036 20.046 0.029 20.008 0.041 20.240 0.176 -1.000 -9.000 -24.379
005108.07+000916.5 1.8365 19.583 0.041 19.547 0.041 19.588 0.028 19.292 0.029 19.290 0.079  0.000 -9.000 -25.921
005109.45+001636.3 2.0361 20.252 0.059 20.063 0.026 19.866 0.027 19.713 0.031 19.380 0.075  0.000 -9.000 -25.734
005109.49+003839.0 1.9331 19.905 0.048 19.829 0.030 19.796 0.024 19.623 0.030 19.579 0.072  0.000 -9.000 -25.707
005112.94-095102.9 1.9657 19.760 0.064 19.476 0.025 19.297 0.022 19.137 0.020 19.047 0.077  0.000 -9.000 -26.242
005113.68+003759.1 2.0001 20.214 0.055 20.075 0.031 20.141 0.028 19.918 0.036 19.712 0.081  0.000 -9.000 -25.490
005113.68-085606.6 2.1910 20.385 0.071 19.793 0.025 19.446 0.026 19.254 0.026 18.787 0.060  0.000 -9.000 -26.387
005114.50+002344.6 1.5655 21.519 0.148 21.163 0.041 20.809 0.044 20.319 0.045 20.180 0.153 15.244 -9.000 -24.519
005115.11-090208.5 1.2648 18.999 0.041 18.967 0.022 18.601 0.023 18.558 0.019 18.629 0.054 16.019 -9.000 -25.802
005117.56+002555.3 1.7484 21.441 0.141 21.266 0.056 21.024 0.053 20.705 0.068 20.665 0.217  0.000 -9.000 -24.390
005118.29+135448.1 0.1377 17.820 0.018 17.598 0.018 17.341 0.021 16.897 0.019 16.915 0.034 -1.000 -1.059 -22.248
005118.98+010535.8 1.7262 20.257 0.059 20.194 0.037 20.231 0.035 19.955 0.035 19.919 0.106  0.000 -9.000 -25.121
005120.35-004250.0 2.3393 21.083 0.144 20.421 0.033 20.102 0.028 20.090 0.040 19.969 0.120  0.000 -9.000 -25.740
005121.26+004521.6 0.7264 18.804 0.036 18.412 0.027 18.205 0.018 18.098 0.021 17.977 0.027  0.000 -9.000 -24.903
005122.56+003431.3 0.7079 21.030 0.101 20.543 0.034 20.382 0.033 20.134 0.044 19.624 0.091  0.000 -9.000 -22.797
005124.82-010251.5 0.5506 22.014 0.203 21.400 0.059 20.593 0.035 20.160 0.038 19.815 0.101  0.000 -9.000 -22.200
005124.93+003033.1 1.6164 20.324 0.069 20.077 0.027 20.160 0.029 19.915 0.037 20.185 0.146  0.000 -9.000 -24.996
005125.65+004240.3 0.4997 20.191 0.052 19.901 0.030 19.837 0.025 19.600 0.030 19.252 0.055  0.000 -9.000 -22.491
005126.02+004745.7 1.0592 20.194 0.055 20.088 0.031 19.857 0.025 19.903 0.035 20.035 0.105  0.000 -9.000 -24.012
005128.60-002453.8 1.9347 19.239 0.032 19.271 0.029 19.157 0.019 18.944 0.026 18.811 0.051  0.000 -9.000 -26.424
005128.91+000852.9 0.8209 20.927 0.106 20.647 0.048 20.578 0.047 20.493 0.057 19.840 0.133  0.000 -9.000 -22.799
005129.38-003644.7 3.7404 24.259 1.255 21.578 0.060 20.311 0.032 20.171 0.037 20.222 0.132  0.000 -9.000 -26.691
005129.72-084304.9 0.4830 19.115 0.037 18.752 0.032 18.815 0.024 18.465 0.021 18.458 0.044  0.000 -1.232 -23.584
005130.48+004150.0 1.1889 18.699 0.035 18.529 0.027 18.320 0.018 18.239 0.021 18.311 0.031 13.558 -9.000 -25.952
005131.16+000534.3 2.0223 19.572 0.038 19.361 0.040 19.338 0.035 19.163 0.028 19.014 0.067  0.000 -9.000 -26.272
005132.38-000653.0 1.3470 19.838 0.043 19.890 0.024 19.534 0.022 19.436 0.022 19.629 0.081  0.000 -9.000 -25.058
005132.38-094937.1 0.9992 18.691 0.056 18.448 0.023 18.172 0.018 18.152 0.014 18.025 0.044  0.000 -9.000 -25.630
005132.59+005834.8 1.3971 19.674 0.044 19.815 0.035 19.478 0.019 19.421 0.030 19.308 0.079  0.000 -9.000 -25.161
005135.28-010709.1 1.5597 17.897 0.033 17.564 0.021 17.488 0.015 17.342 0.016 17.469 0.024  0.000 -9.000 -27.530
005136.84+140635.2 1.9627 19.955 0.041 19.891 0.019 19.881 0.022 19.609 0.024 19.453 0.062 -1.000 -9.000 -25.849
005138.33-004812.0 2.1010 19.875 0.053 19.812 0.023 19.905 0.027 19.578 0.029 19.377 0.079  0.000 -9.000 -26.002
005138.95+144151.1 1.4175 19.882 0.038 19.782 0.027 19.457 0.022 19.234 0.030 19.099 0.066 -1.000 -9.000 -25.430
005142.21+002129.0 1.5511 20.815 0.086 20.473 0.029 20.218 0.029 19.948 0.031 19.823 0.107  0.000 -9.000 -24.867
005142.86+005750.9 1.5922 21.090 0.126 20.507 0.041 20.390 0.032 20.036 0.044 19.777 0.117  0.000 -9.000 -24.853
005144.35-100549.4 1.1976 19.267 0.032 19.153 0.036 18.900 0.021 18.879 0.020 18.965 0.059  0.000 -9.000 -25.339
005146.48+000247.3 1.3833 20.793 0.094 20.426 0.045 19.700 0.036 19.411 0.031 19.333 0.089  0.000 -9.000 -25.137
005149.24-000133.5 0.6878 20.993 0.089 20.360 0.032 20.121 0.027 19.765 0.027 19.519 0.074  0.000 -9.000 -23.101
005152.20+010319.4 1.8107 19.219 0.035 19.142 0.017 19.115 0.018 18.853 0.016 18.803 0.038  0.000 -9.000 -26.333
005152.75-002503.4 1.2720 19.045 0.029 18.997 0.029 18.804 0.018 18.745 0.025 18.896 0.055  0.000 -9.000 -25.633
005153.22-084044.8 0.8743 19.759 0.053 19.460 0.022 19.215 0.016 19.234 0.030 19.171 0.069  0.000 -9.000 -24.259
005154.67-001922.4 1.2683 18.785 0.025 18.705 0.028 18.577 0.017 18.649 0.024 18.757 0.050  0.000 -9.000 -25.717
005155.06-003115.0 1.3264 20.125 0.053 20.039 0.024 19.454 0.025 19.376 0.039 19.406 0.061  0.000 -9.000 -25.109
005157.24+000354.8 1.9568 18.458 0.028 18.191 0.022 18.083 0.021 17.872 0.018 17.669 0.027  0.000 -9.000 -27.487
005158.59+140746.3 0.9808 19.130 0.025 18.927 0.015 18.736 0.016 18.755 0.018 18.728 0.033 -1.000 -9.000 -25.068
005158.83-002054.1 1.0473 19.620 0.038 19.296 0.045 19.118 0.020 19.187 0.023 19.047 0.062  0.000 -9.000 -24.721
005201.55+000810.9 1.9517 20.606 0.083 20.630 0.035 20.793 0.046 20.469 0.052 20.186 0.189  0.000 -9.000 -24.888
005202.39+010129.3 2.2709 18.043 0.021 17.486 0.038 17.470 0.015 17.346 0.014 17.124 0.020  0.000 -9.000 -28.361
005204.46+001303.5 1.7127 20.353 0.060 20.089 0.026 20.079 0.027 19.837 0.028 19.968 0.122  0.000 -9.000 -25.215
005205.56+003538.2 0.3995 16.918 0.019 16.392 0.027 16.129 0.016 15.925 0.009 15.625 0.015 11.623 -1.625 -25.624
005206.08-110837.9 3.2493 22.299 0.340 19.110 0.031 18.699 0.018 18.543 0.022 18.477 0.042  0.000 -9.000 -27.974
005206.98+004816.9 1.6003 20.624 0.067 20.404 0.028 20.303 0.031 20.094 0.038 20.035 0.104  0.000 -9.000 -24.802
005210.60-091744.5 1.5351 19.771 0.043 19.529 0.025 19.374 0.017 19.151 0.030 19.266 0.073  0.000 -9.000 -25.670
005213.59+152049.8 2.2316 20.540 0.053 20.152 0.023 19.996 0.027 19.971 0.030 19.820 0.075 -1.000 -9.000 -25.766
005215.64+003120.5 2.8495 21.056 0.100 19.663 0.031 19.357 0.021 19.160 0.020 19.075 0.059  0.000 -9.000 -27.045
005216.80+153128.3 0.8774 19.881 0.042 19.539 0.031 19.474 0.026 19.389 0.029 19.156 0.063 -1.000 -9.000 -24.186
005218.28-004849.7 1.5513 20.587 0.093 20.294 0.028 20.118 0.029 19.839 0.030 19.679 0.099  0.000 -9.000 -25.020
005219.31-002315.5 2.8194 20.559 0.073 19.620 0.045 19.590 0.024 19.602 0.028 19.521 0.088  0.000 -9.000 -26.605
005220.23-103213.4 1.7026 18.856 0.030 18.708 0.055 18.668 0.022 18.427 0.025 18.510 0.041  0.000 -9.000 -26.630
005220.95+010037.7 1.5198 20.675 0.086 20.200 0.044 20.140 0.029 19.870 0.036 20.029 0.138  0.000 -9.000 -24.908
005225.23-003704.7 1.4015 18.929 0.034 18.791 0.026 18.405 0.017 18.185 0.019 18.133 0.026  0.000 -9.000 -26.428
005225.34+002006.6 1.3238 19.509 0.035 19.468 0.021 19.222 0.029 19.173 0.023 19.259 0.065  0.000 -9.000 -25.273
005225.44+004251.1 2.9201 22.264 0.269 19.994 0.026 19.939 0.024 19.777 0.029 19.654 0.074  0.000 -9.000 -26.489
005228.68-001635.4 1.0233 19.375 0.032 19.101 0.044 18.810 0.021 18.780 0.026 18.721 0.048  0.000 -9.000 -25.069
005229.51-110309.9 2.4383 19.143 0.031 18.554 0.024 18.411 0.017 18.380 0.021 18.163 0.038  0.000 -9.000 -27.500
005230.75+153427.9 1.8630 20.561 0.066 20.425 0.037 20.287 0.036 20.204 0.050 20.037 0.129 -1.000 -9.000 -25.164
005232.43+005123.0 0.4085 20.206 0.061 19.403 0.040 18.979 0.018 18.727 0.018 18.436 0.038  0.000 -9.000 -22.881
005232.81-092902.7 1.5718 19.196 0.033 18.982 0.025 18.801 0.018 18.559 0.027 18.479 0.045  0.000 -9.000 -26.313
005233.73+145657.1 1.5183 20.401 0.048 20.119 0.030 19.917 0.023 19.658 0.026 19.538 0.077 -1.000 -9.000 -25.186
005234.33-003305.7 1.9339 19.372 0.040 19.273 0.027 19.310 0.020 19.201 0.022 19.084 0.049  0.000 -9.000 -26.156
005234.45+154845.8 1.8302 20.060 0.043 19.625 0.026 19.505 0.025 19.327 0.027 19.211 0.051 -1.000 -9.000 -26.008
005235.24+010228.0 1.3887 18.766 0.029 18.474 0.030 18.399 0.033 18.237 0.033 18.249 0.034  0.000 -9.000 -26.324
005236.58+000855.3 0.8837 19.980 0.055 19.829 0.023 19.736 0.023 19.763 0.031 19.764 0.129  0.000 -9.000 -23.713
005236.73+003234.2 1.5760 20.133 0.056 19.909 0.027 19.797 0.025 19.635 0.029 19.636 0.093  0.000 -9.000 -25.223
005240.17-003332.1 2.0650 20.700 0.085 20.399 0.033 20.201 0.028 19.963 0.031 19.674 0.080  0.000 -9.000 -25.544
005242.09+135912.8 1.3899 20.369 0.053 20.300 0.047 19.957 0.028 19.915 0.038 20.331 0.184 -1.000 -9.000 -24.747
005243.92-005954.0 0.6585 20.950 0.086 20.357 0.034 20.128 0.026 20.003 0.036 19.993 0.111  0.000 -9.000 -22.798
005244.14+142807.1 0.6517 19.670 0.033 19.249 0.020 19.239 0.020 19.162 0.018 19.214 0.052 -1.000 -9.000 -23.649
005244.23-005721.7 0.7565 19.332 0.029 18.823 0.025 18.727 0.016 18.670 0.022 18.505 0.035  0.000 -9.000 -24.464
005244.48+004958.5 1.8743 20.324 0.062 20.222 0.028 20.169 0.027 19.884 0.032 20.002 0.104  0.000 -9.000 -25.381
005244.60+145148.5 1.3907 19.891 0.034 19.765 0.029 19.685 0.021 19.608 0.026 19.728 0.090 -1.000 -9.000 -25.018
005248.13-095126.9 1.1836 19.798 0.045 19.454 0.023 19.195 0.020 19.088 0.022 19.095 0.071  0.000 -9.000 -25.111
005251.38+004825.0 3.3714 22.879 0.402 20.898 0.042 20.469 0.034 20.399 0.048 20.225 0.126  0.000 -9.000 -26.184
005251.57-010543.1 2.4899 20.796 0.096 20.036 0.025 19.767 0.029 19.639 0.034 19.412 0.077  0.000 -9.000 -26.327
005256.24-001251.6 1.5618 19.573 0.036 19.258 0.031 19.200 0.021 18.904 0.021 18.893 0.051  0.000 -9.000 -25.953
005256.91-001709.1 1.6776 19.034 0.027 18.812 0.030 18.558 0.019 18.303 0.018 18.164 0.032  0.000 -9.000 -26.719
005257.73+005240.5 1.0265 20.292 0.070 20.237 0.035 19.834 0.038 19.911 0.046 19.968 0.128  0.000 -9.000 -23.930
005257.98+002742.6 1.3332 19.408 0.040 19.400 0.024 19.207 0.020 19.149 0.021 19.249 0.067  0.000 -9.000 -25.315
005302.18-000059.5 0.6972 19.811 0.042 19.453 0.016 19.450 0.020 19.550 0.025 19.370 0.066  0.000 -9.000 -23.355
005303.45-005436.7 1.1681 18.699 0.036 18.382 0.035 18.025 0.025 17.959 0.020 17.941 0.030  0.000 -9.000 -26.226
005303.86+143831.9 1.6563 20.734 0.068 20.505 0.040 20.458 0.036 20.234 0.048 20.232 0.162 -1.000 -9.000 -24.801
005304.80+000537.2 1.7378 20.664 0.092 20.272 0.027 20.352 0.032 20.053 0.035 20.196 0.181 15.589 -9.000 -25.034
005305.28+002608.3 1.5417 20.775 0.089 20.485 0.033 20.482 0.036 20.309 0.044 20.784 0.249  0.000 -9.000 -24.499
005308.64-011513.7 1.2968 18.881 0.046 18.843 0.014 18.503 0.022 18.412 0.024 18.377 0.035  0.000 -9.000 -26.040
005310.84+003025.6 1.5764 21.299 0.133 21.006 0.043 20.966 0.050 20.567 0.059 20.306 0.163  0.000 -9.000 -24.293
005311.92-093317.6 1.6375 19.520 0.036 18.976 0.020 18.949 0.022 18.891 0.025 18.929 0.067  0.000 -9.000 -26.079
005316.92-005832.0 1.8238 21.099 0.100 20.727 0.047 20.371 0.036 19.891 0.034 19.726 0.091  0.000 -9.000 -25.353
005319.20+134708.8 2.9233 20.886 0.072 19.683 0.022 19.419 0.017 19.292 0.028 19.207 0.054 -1.000 -9.000 -27.088
005319.94+001826.0 1.6067 20.425 0.061 20.123 0.031 19.989 0.033 19.832 0.029 19.655 0.094  0.000 -9.000 -25.077
005320.83+152724.2 1.8710 19.425 0.048 19.146 0.036 18.979 0.019 18.764 0.020 18.692 0.033 -1.000 -9.000 -26.582
005323.06+153308.4 1.8634 19.944 0.040 19.702 0.036 19.629 0.034 19.481 0.036 19.527 0.081 -1.000 -9.000 -25.884
005324.07+001532.9 1.4035 19.780 0.042 19.433 0.029 19.099 0.033 18.988 0.019 18.893 0.049  0.000 -9.000 -25.602
005328.81-085755.1 0.2590 18.117 0.022 17.959 0.053 17.670 0.028 17.550 0.017 17.271 0.019  0.000 -9.000 -22.999
005333.14+145538.6 1.6733 20.726 0.060 20.376 0.026 20.343 0.026 20.023 0.029 20.177 0.129 -1.000 -9.000 -25.046
005334.13-004031.8 2.0394 19.927 0.058 19.772 0.029 19.817 0.028 19.633 0.028 19.688 0.093  0.000 -9.000 -25.841
005334.73-085845.1 1.4472 19.263 0.032 19.323 0.053 19.092 0.030 18.965 0.023 18.878 0.058  0.000 -9.000 -25.724
005335.33-085515.7 1.3109 19.623 0.040 19.642 0.054 19.280 0.031 19.171 0.026 19.209 0.078  0.000 -9.000 -25.286
005338.11-010829.3 2.3800 21.870 0.225 21.116 0.048 20.595 0.042 20.676 0.058 20.214 0.149  0.000 -9.000 -25.191
005341.70-002333.4 2.2350 20.995 0.111 20.535 0.035 20.380 0.033 20.335 0.045 20.145 0.143  0.000 -9.000 -25.337
005342.16+005157.0 1.4406 19.515 0.044 19.408 0.019 19.220 0.021 19.150 0.047 19.162 0.064  0.000 -9.000 -25.495
005342.40-110323.2 1.0842 18.432 0.021 18.186 0.019 17.908 0.022 17.931 0.023 17.941 0.029  0.000 -9.000 -26.058
005342.95+002057.2 2.8500 20.553 0.069 19.906 0.030 19.652 0.035 19.505 0.024 19.657 0.092  0.000 -9.000 -26.712
005346.48+005343.6 2.3452 20.696 0.095 20.010 0.034 19.737 0.027 19.700 0.042 19.688 0.099  0.000 -9.000 -26.071
005348.05-091704.4 1.9792 22.127 0.260 21.688 0.070 20.941 0.052 20.321 0.053 19.778 0.117  0.000 -9.000 -25.102
005348.64-002157.1 3.9840 24.627 1.391 21.955 0.083 20.473 0.037 20.368 0.046 20.316 0.164  0.000 -9.000 -26.576
005355.15-000309.3 1.7189 19.053 0.026 18.541 0.012 18.321 0.016 17.992 0.017 17.823 0.023  0.000 -9.000 -27.070
005401.48+002847.7 3.4127 24.341 1.258 20.544 0.034 19.952 0.031 19.911 0.040 19.795 0.099  0.000 -9.000 -26.696
005402.98+005738.7 2.4105 20.329 0.070 19.761 0.033 19.643 0.026 19.693 0.042 19.401 0.078  0.000 -9.000 -26.141
005403.42+154448.6 0.4327 19.484 0.029 19.272 0.020 19.263 0.022 19.006 0.017 18.674 0.036 -1.000 -9.000 -22.859
005404.06+133522.1 1.2862 20.555 0.054 20.426 0.031 20.116 0.025 20.031 0.035 19.899 0.092 -1.000 -9.000 -24.467
005404.40-010747.8 1.2143 19.687 0.041 19.608 0.020 19.282 0.023 19.358 0.031 19.416 0.075  0.000 -9.000 -24.917
005405.40-002052.9 1.8316 19.546 0.039 19.427 0.033 19.405 0.024 19.232 0.026 19.132 0.064  0.000 -9.000 -25.977
005406.68+160031.9 2.0766 19.005 0.026 18.811 0.035 18.713 0.022 18.537 0.019 18.322 0.044 -1.000 -9.000 -27.082
005408.46-094638.3 2.1282 18.392 0.022 18.024 0.045 17.786 0.016 17.574 0.018 17.340 0.021  0.000 -9.000 -28.010
005408.97-001909.5 0.9390 19.226 0.033 18.941 0.033 18.684 0.021 18.828 0.024 18.576 0.046  0.000 -9.000 -24.795
005411.89+000404.4 1.2004 20.334 0.069 20.115 0.027 19.929 0.029 19.972 0.041 19.816 0.122  0.000 -9.000 -24.247
005413.17-001138.4 0.7822 19.108 0.026 18.877 0.017 18.846 0.018 18.965 0.023 18.903 0.045  0.000 -9.000 -24.216
005418.28-004538.2 3.3804 22.934 0.705 20.442 0.037 19.923 0.035 19.849 0.032 19.689 0.102  0.000 -9.000 -26.745
005419.98+002727.9 2.5195 19.422 0.035 18.653 0.021 18.328 0.024 18.170 0.023 17.882 0.026  0.000 -9.000 -27.768
005420.33-095947.8 1.1412 18.853 0.030 18.595 0.024 18.418 0.024 18.299 0.016 18.280 0.037  0.000 -9.000 -25.817
005421.42-010921.6 5.0879 26.134 0.655 23.937 0.534 21.264 0.069 20.000 0.043 19.574 0.085  0.000 -9.000 -27.482
005423.06-000729.9 1.4679 19.560 0.033 19.469 0.019 19.347 0.020 19.184 0.024 19.189 0.055  0.000 -9.000 -25.511
005426.15+143506.7 1.7298 18.746 0.018 18.620 0.023 18.475 0.013 18.275 0.023 18.188 0.028 -1.000 -9.000 -26.863
005428.15+143838.0 1.3059 18.916 0.026 18.782 0.021 18.512 0.016 18.405 0.016 18.408 0.040 -1.000 -9.000 -26.072
005429.43+005848.2 0.5017 20.773 0.099 20.178 0.028 20.175 0.029 19.914 0.041 19.678 0.097  0.000 -9.000 -22.189
005434.93+145528.7 0.8755 17.501 0.020 17.372 0.026 17.262 0.016 17.286 0.013 17.194 0.024 -1.000 -9.000 -26.233
005436.35+005055.6 2.2361 20.977 0.108 20.245 0.028 20.059 0.027 19.788 0.037 19.584 0.084  0.000 -9.000 -25.880
005441.19+000110.6 0.6466 18.625 0.024 18.266 0.021 18.214 0.028 17.910 0.024 17.877 0.029 15.179 -1.258 -24.812
005444.06+144646.5 0.9064 18.163 0.022 17.899 0.012 17.759 0.018 17.741 0.015 17.599 0.024 -1.000 -9.000 -25.858
005444.63-004645.7 0.8375 20.490 0.085 20.218 0.032 20.063 0.030 19.974 0.040 19.629 0.082  0.000 -9.000 -23.385
005446.22+140019.0 0.5015 18.615 0.023 18.167 0.021 18.015 0.012 17.784 0.011 17.679 0.019 -1.000 -9.000 -24.389
005447.83-005726.6 1.7678 19.768 0.038 19.635 0.028 19.624 0.022 19.385 0.023 19.264 0.060  0.000 -9.000 -25.759
005448.44-101420.4 1.7452 19.460 0.032 19.328 0.042 19.260 0.018 18.900 0.025 18.904 0.055 13.929 -9.000 -26.218
005452.85-001344.6 3.7256 24.810 1.259 21.089 0.040 19.986 0.027 19.896 0.039 19.930 0.108  0.000 -9.000 -26.902
005454.62+001759.2 2.1702 19.486 0.033 18.798 0.021 18.550 0.020 18.470 0.020 18.245 0.030  0.000 -9.000 -27.133
005454.84-004244.0 2.2190 18.590 0.028 18.189 0.026 18.146 0.021 17.949 0.024 17.740 0.026  0.000 -9.000 -27.712
005454.94+010102.8 1.0639 19.694 0.043 19.491 0.023 19.295 0.020 19.264 0.029 19.158 0.063  0.000 -9.000 -24.666
005455.52+153141.8 0.8037 20.322 0.057 19.962 0.023 19.821 0.029 19.762 0.034 19.479 0.075 -1.000 -9.000 -23.587
005455.57+151648.1 1.0512 18.925 0.024 18.638 0.018 18.271 0.015 18.206 0.015 18.157 0.027 -1.000 -9.000 -25.787
005458.49+010345.4 2.0171 19.813 0.041 19.799 0.025 19.764 0.030 19.728 0.029 19.379 0.070  0.000 -9.000 -25.708
005458.83-110307.7 1.6075 19.922 0.045 19.631 0.034 19.270 0.020 18.989 0.023 19.034 0.063 16.175 -9.000 -25.933
005459.93-002603.0 0.6193 20.768 0.090 20.154 0.041 20.005 0.028 19.763 0.028 19.949 0.102  0.000 -9.000 -22.851
005500.04-010613.0 1.2566 19.929 0.050 19.674 0.037 19.374 0.027 19.411 0.031 19.473 0.072  0.000 -9.000 -24.931
005500.38+005637.5 1.4553 19.145 0.030 18.945 0.026 18.722 0.029 18.561 0.020 18.626 0.041  0.000 -9.000 -26.117
005503.37+144137.8 1.8299 20.560 0.063 20.050 0.020 19.824 0.026 19.455 0.026 19.372 0.075 -1.000 -9.000 -25.815
005503.52+140806.5 1.6679 19.978 0.043 19.659 0.024 19.488 0.017 19.072 0.016 19.082 0.045 -1.000 -9.000 -25.997
005504.96-092049.6 1.7101 19.654 0.048 19.256 0.028 19.071 0.022 18.794 0.017 18.794 0.050  0.000 -9.000 -26.288
005505.15-003708.4 0.7135 20.503 0.069 20.162 0.041 20.100 0.029 20.035 0.032 19.742 0.087  0.000 -9.000 -22.932
005508.55-105206.2 1.3810 22.001 0.271 21.407 0.069 20.799 0.045 20.094 0.042 19.696 0.112  0.000 -9.000 -24.474
005508.66-091745.3 1.2487 20.249 0.053 19.939 0.032 19.338 0.032 19.196 0.024 19.245 0.076  0.000 -9.000 -25.145
005508.98-085914.7 2.4755 19.471 0.041 18.810 0.031 18.752 0.014 18.771 0.021 18.602 0.047  0.000 -9.000 -27.175
005509.78-004521.6 0.6495 21.053 0.133 20.622 0.034 20.480 0.037 20.050 0.053 19.770 0.090  0.000 -9.000 -22.692
005510.99+145215.0 0.8770 20.856 0.063 20.377 0.031 20.139 0.026 20.087 0.032 19.834 0.100 -1.000 -9.000 -23.429
005513.15-005621.2 3.6346 24.073 1.117 20.341 0.036 19.289 0.020 19.168 0.022 19.071 0.051  0.000 -9.000 -27.592
005513.51-001935.8 1.9871 20.768 0.084 20.426 0.033 20.335 0.034 20.204 0.047 19.888 0.103  0.000 -9.000 -25.195
005514.50-000706.4 2.0496 21.010 0.089 20.801 0.037 20.640 0.036 20.121 0.034 19.733 0.089  0.000 -9.000 -25.349
005515.79-004952.7 0.4577 21.085 0.136 20.879 0.039 20.209 0.030 19.674 0.045 19.276 0.060  0.000 -9.000 -22.222
005516.98+010844.7 3.1313 22.999 0.533 20.015 0.031 19.660 0.026 19.497 0.028 19.480 0.077  0.000 -9.000 -26.923
005517.65-083742.6 2.1918 20.116 0.066 19.550 0.026 19.341 0.026 19.234 0.025 18.963 0.060  0.000 -9.000 -26.505
005518.98+005004.9 2.4822 20.270 0.048 19.663 0.025 19.357 0.018 19.403 0.024 19.089 0.052  0.000 -9.000 -26.505
005520.53-005454.5 1.8945 20.478 0.061 20.548 0.039 20.345 0.031 19.971 0.033 19.700 0.087  0.000 -9.000 -25.335
005521.72-002817.2 2.2481 20.402 0.071 19.680 0.030 19.672 0.029 19.817 0.028 19.382 0.063  0.000 -9.000 -25.863
005523.83-001941.9 1.8121 18.474 0.021 18.427 0.024 18.410 0.021 18.147 0.027 18.127 0.029  0.000 -9.000 -27.039
005526.78+000838.0 2.0685 20.017 0.059 19.876 0.028 19.901 0.030 19.713 0.029 19.444 0.083  0.000 -9.000 -25.772
005527.04+155409.7 0.6939 19.818 0.095 19.143 0.030 19.208 0.019 19.209 0.026 19.053 0.060 -1.000 -9.000 -23.820
005527.37-002949.2 1.8347 20.086 0.058 20.246 0.033 20.324 0.035 20.027 0.032 19.996 0.107  0.000 -9.000 -25.189
005533.23+010709.2 1.0911 19.879 0.043 19.725 0.030 19.505 0.025 19.412 0.027 19.309 0.067  0.000 -9.000 -24.576
005535.01-003258.3 2.0334 19.421 0.042 19.314 0.028 18.954 0.026 18.602 0.019 18.320 0.030  0.000 -9.000 -26.854
005538.21-002730.0 1.2270 19.998 0.056 20.155 0.033 19.821 0.030 19.902 0.030 20.220 0.129  0.000 -9.000 -24.365
005539.28+145551.4 1.7391 19.597 0.029 19.423 0.026 19.366 0.020 19.050 0.020 18.969 0.053 -1.000 -9.000 -26.091
005539.32-091254.2 0.6407 20.603 0.079 20.071 0.027 19.682 0.024 19.258 0.028 19.171 0.063  0.000 -9.000 -23.480
005540.10-100415.3 2.1556 19.175 0.049 18.712 0.022 18.606 0.022 18.571 0.024 18.406 0.038  0.000 -9.000 -27.039
